class,ROCAUC,n_positives,n_negatives
Amikacin,0.8623384237289429,200,4208
Amoxicillin-Clavulanic acid,0.9241597056388855,2696,4984
Ampicillin,0.9093630909919739,1725,803
Ampicillin-Amoxicillin,0.9487206935882568,4380,984
Aztreonam,0.8276796340942383,138,91
Benzylpenicillin,0.9514176249504089,145,90
Cefazolin,0.9439532160758972,835,1182
Cefepime,0.9142688512802124,1468,6358
Cefpodoxime,0.9466206431388855,467,877
Ceftazidime,0.8347669243812561,712,4918
Ceftriaxone,0.9116088151931763,1716,5715
Cefuroxime,0.9259587526321411,1192,1707
Ciprofloxacin,0.8766440153121948,1889,7355
Clarithromycin,0.782561719417572,54,240
Clindamycin,0.8532135486602783,888,1943
Colistin,0.9900721907615662,586,3154
Cotrimoxazole,0.8970589637756348,1461,4898
Ertapenem,0.8911885023117065,102,4323
Erythromycin,0.8229578733444214,1103,1831
Fosfomycin,0.8949500322341919,500,2042
Fosfomycin-Trometamol,0.8362249135971069,281,961
Fusidic acid,0.8753939867019653,727,1699
Gentamicin,0.9081865549087524,704,4555
Imipenem,0.9633104801177979,1517,6344
Levofloxacin,0.8943305611610413,828,3611
Meropenem,0.9607611894607544,1035,5444
Mupirocin,0.9691351652145386,114,914
Nitrofurantoin,0.9855951070785522,276,701
Norfloxacin,0.8246558308601379,256,1430
Oxacillin,0.9432008266448975,1094,1541
Penicillin,0.93213951587677,2494,848
Piperacillin-Tazobactam,0.884591817855835,1556,6240
Polymyxin B,0.9999806880950928,111,468
Rifampicin,0.91617351770401,118,2987
Teicoplanin,0.9422886967658997,48,1688
Tetracycline,0.9127902388572693,726,2087
Tobramycin,0.8532261252403259,348,3364
Vancomycin,0.9689014554023743,51,4080
micro,0.9378955364227295,,
macro,0.9073786813961832,,
