class,ROCAUC,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.8680416941642761,284,1048
Ampicillin,0.8507182598114014,961,422
Cefepime,0.6788926720619202,74,1319
Ceftazidime,0.718018651008606,118,1271
Ceftriaxone,0.7248624563217163,110,1222
Ciprofloxacin,0.7668721675872803,213,1754
Erythromycin,0.7305245995521545,137,342
Fosfomycin,0.8509942293167114,304,1639
Gentamicin,0.7627213597297668,104,1907
Imipenem,0.9299780130386353,98,1255
Penicillin,0.6854525804519653,348,80
Piperacillin-Tazobactam,0.7106066346168518,109,1265
Tetracycline,0.6692900061607361,53,561
micro,0.8769122958183289,,
macro,0.7651517941401556,,
