class,ROCAUC,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.8404682278633118,317,1006
Ampicillin,0.8412148356437683,974,402
Cefepime,0.7266140580177307,70,1321
Ceftazidime,0.7225501537322998,119,1270
Ceftriaxone,0.7432190179824829,116,1209
Ciprofloxacin,0.7368631362915039,236,1725
Erythromycin,0.7868781089782715,149,339
Fosfomycin,0.8362537622451782,299,1630
Gentamicin,0.7515799403190613,96,1912
Imipenem,0.9568462371826172,106,1245
Penicillin,0.778016209602356,380,65
Piperacillin-Tazobactam,0.7285044193267822,127,1246
Tetracycline,0.7595328092575073,41,568
micro,0.8725975155830383,,
macro,0.7852723781879132,,
