class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.7763674259185791,26,900
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.8190844058990479,536,1454
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN
Ampicillin,0.2936493456363678,714,634
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,NaN,NaN,NaN
Aztreonam,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN
Benzylpenicillin,0.4943206310272217,618,457
Benzylpenicillin_others,0.6599999666213989,2,25
Benzylpenicillin_with_meningitis,0.3199999928474426,2,25
Benzylpenicillin_with_pneumonia,0.07692307233810425,1,26
Caspofungin,NaN,NaN,NaN
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,NaN,NaN,NaN
Cefepime,0.7851458787918091,269,1420
Cefixime,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,0.599853515625,234,566
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.6729220151901245,106,834
Ceftazidime-Avibactam,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,NaN,NaN,NaN
Ceftriaxone,0.6312416195869446,115,970
Cefuroxime,0.686794638633728,304,499
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.7588917016983032,339,1680
Clarithromycin,0.5894348621368408,36,173
Clindamycin,0.625281035900116,211,822
Colistin,NaN,NaN,NaN
Cotrimoxazol,0.5478337407112122,196,1553
Cotrimoxazole,NaN,NaN,NaN
Daptomycin,0.26601672172546387,1,718
Doxycycline,NaN,NaN,NaN
Ertapenem,0.7265605330467224,20,785
Erythromycin,0.6504764556884766,234,714
Fluconazol,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.5784034729003906,293,1242
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.7577415108680725,176,560
Gentamicin,0.7636630535125732,133,1414
Gentamicin_high_level,0.6536312103271484,36,179
Imipenem,0.890994668006897,92,1123
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,0.8134706616401672,197,1007
Linezolid,NaN,NaN,NaN
Meropenem,0.6661978363990784,11,905
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,0.7471264600753784,3,29
Micafungin,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN
Moxifloxacin,NaN,NaN,NaN
Mupirocin,0.660330593585968,10,726
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.7833361029624939,534,481
Norfloxacin,0.6854423880577087,143,657
Novobiocin,NaN,NaN,NaN
Oxacillin,0.7914521098136902,186,545
Penicillin,NaN,NaN,NaN
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.6633793115615845,188,987
Polymyxin B,NaN,NaN,NaN
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.8228526711463928,13,789
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,0.5865384340286255,26,56
Teicoplanin,0.703125,10,736
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.6858305335044861,130,747
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,0.6602094173431396,2,955
Tobramycin,NaN,NaN,NaN
Vancomycin,0.9058402180671692,16,1220
Voriconazole,NaN,NaN,NaN
micro,0.7789904475212097,,
macro,0.6200090803205967,,
