class,ROCAUC,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.9281577467918396,277,632
Ampicillin,0.9273573160171509,599,308
Cefepime,0.7671787142753601,46,317
Ceftazidime,0.7587611079216003,72,474
Ceftriaxone,0.8870757222175598,140,425
Cefuroxime,0.8862342238426208,210,348
Ciprofloxacin,0.8363978266716003,87,677
Clarithromycin,0.847214937210083,44,173
Clindamycin,0.9151617288589478,77,169
Cotrimoxazole,0.9168106317520142,243,572
Fosfomycin,0.8785715103149414,112,140
Gentamicin,0.8846218585968018,113,689
Nitrofurantoin,0.9765567779541016,76,284
Oxacillin,0.9724177122116089,133,187
Penicillin,0.7732198238372803,152,85
Piperacillin-Tazobactam,0.8206011056900024,70,423
Polymyxin B,0.9999330043792725,100,448
micro,0.9236418008804321,,
macro,0.8809571616789874,,
