class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.8113675117492676,26,900
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.8149250745773315,536,1454
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN
Ampicillin,0.7112283706665039,714,634
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,NaN,NaN,NaN
Aztreonam,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN
Benzylpenicillin,0.6092037558555603,618,457
Benzylpenicillin_others,0.6599999666213989,2,25
Benzylpenicillin_with_meningitis,0.320000022649765,2,25
Benzylpenicillin_with_pneumonia,0.26923078298568726,1,26
Caspofungin,NaN,NaN,NaN
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,NaN,NaN,NaN
Cefepime,0.7852282524108887,269,1420
Cefixime,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,0.636638879776001,234,566
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.6639519333839417,106,834
Ceftazidime-Avibactam,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,NaN,NaN,NaN
Ceftriaxone,0.6901747584342957,115,970
Cefuroxime,0.6693651080131531,304,499
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.7637097239494324,339,1680
Clarithromycin,0.5881502628326416,36,173
Clindamycin,0.6286020278930664,211,822
Colistin,NaN,NaN,NaN
Cotrimoxazol,0.6158915758132935,196,1553
Cotrimoxazole,NaN,NaN,NaN
Daptomycin,0.2130919098854065,1,718
Doxycycline,NaN,NaN,NaN
Ertapenem,0.8084713220596313,20,785
Erythromycin,0.6376259922981262,234,714
Fluconazol,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.6098167896270752,293,1242
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.7827516198158264,176,560
Gentamicin,0.7497207522392273,133,1414
Gentamicin_high_level,0.5550899505615234,36,179
Imipenem,0.8886619210243225,92,1123
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,0.8179998397827148,197,1007
Linezolid,NaN,NaN,NaN
Meropenem,0.6206931471824646,11,905
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,0.9885057210922241,3,29
Micafungin,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN
Moxifloxacin,NaN,NaN,NaN
Mupirocin,0.5144628286361694,10,726
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.8280112743377686,534,481
Norfloxacin,0.6629839539527893,143,657
Novobiocin,NaN,NaN,NaN
Oxacillin,0.7915655374526978,186,545
Penicillin,NaN,NaN,NaN
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.6138955354690552,188,987
Polymyxin B,NaN,NaN,NaN
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.8652627468109131,13,789
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,0.5151098966598511,26,56
Teicoplanin,0.7652174830436707,10,736
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.702934741973877,130,747
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,0.7743455767631531,2,955
Tobramycin,NaN,NaN,NaN
Vancomycin,0.8387807607650757,16,1220
Voriconazole,NaN,NaN,NaN
micro,0.7918673157691956,,
macro,0.6445666827261448,,
