class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.835595965385437,0.25862068965517243,105,301
Ampicillin,0.9722762703895569,0.5218978102189781,143,131
Benzylpenicillin,0.9774503707885742,0.58,116,84
Cefepime,0.6611045598983765,0.150997150997151,53,298
Ciprofloxacin,0.6113303899765015,0.18854415274463007,79,340
Clindamycin,0.706348717212677,0.20512820512820512,40,155
Fosfomycin,0.8544876575469971,0.17391304347826086,56,266
Nitrofurantoin,0.9997711181640625,0.5136363636363637,113,107
micro,0.8946973085403442,0.29534981147884376,,
macro,0.8272956311702728,NaN,,
