class,ROCAUC,n_positives,n_negatives
Amikacin,0.8324453830718994,176,3276
Amoxicillin-Clavulanic acid,0.9125949144363403,2019,3020
Ampicillin-Amoxicillin,0.9340177774429321,4408,951
Cefazolin,0.9247416257858276,851,1158
Cefepime,0.9067826867103577,1263,4423
Cefpodoxime,0.9218629598617554,480,864
Ceftazidime,0.8119641542434692,503,2986
Ceftriaxone,0.8927336931228638,1471,3820
Cefuroxime,0.9168787598609924,900,1223
Ciprofloxacin,0.8717468976974487,1478,4606
Clindamycin,0.828446626663208,741,1574
Colistin,0.993901789188385,561,3111
Cotrimoxazole,0.8581948280334473,975,4369
Ertapenem,0.8947035074234009,64,2881
Erythromycin,0.8157238960266113,923,1278
Fosfomycin-Trometamol,0.8344581127166748,236,987
Fusidic acid,0.8465739488601685,689,1437
Gentamicin,0.9309654235839844,453,1654
Imipenem,0.9510781168937683,1385,4506
Levofloxacin,0.8806912302970886,761,3388
Meropenem,0.9492838978767395,1052,4841
Nitrofurantoin,0.9469879269599915,70,332
Norfloxacin,0.7941560745239258,160,1062
Oxacillin,0.9208757877349854,942,1243
Penicillin,0.9497514963150024,1981,686
Piperacillin-Tazobactam,0.8702988028526306,1322,4370
Rifampicin,0.9206411838531494,105,2077
Teicoplanin,0.9292504787445068,50,1481
Tetracycline,0.9112989902496338,637,1345
Tobramycin,0.8234665393829346,312,3328
micro,0.9233367443084717,,
macro,0.8925505836804708,,
