class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
Amikacin,0.3393813371658325,0.06238964096527369,212,3186
Amoxicillin-Clavulanic acid,0.8957341909408569,0.38687737547509504,1934,3065
Ampicillin-Amoxicillin,0.9862066507339478,0.8171662632656861,4389,982
Cefazolin,0.9111486673355103,0.40788816774837744,817,1186
Cefepime,0.8202158808708191,0.22846573894662675,1297,4380
Cefpodoxime,0.9067015647888184,0.347953216374269,476,892
Ceftazidime,0.5679765939712524,0.1438953488372093,495,2945
Ceftriaxone,0.8323853611946106,0.2727964972396726,1433,3820
Cefuroxime,0.9023927450180054,0.4140550807217474,872,1234
Ciprofloxacin,0.7569358944892883,0.24626006904487918,1498,4585
Clindamycin,0.7227286100387573,0.3170522707797772,740,1594
Colistin,0.9889906644821167,0.16037475888674566,582,3047
Cotrimoxazole,0.6053881049156189,0.17784090909090908,939,4341
Ertapenem,0.4435230493545532,0.01993127147766323,58,2852
Erythromycin,0.7627530097961426,0.4126912691269127,917,1305
Fosfomycin-Trometamol,0.6738835573196411,0.2328767123287671,289,952
Fusidic acid,0.7220365405082703,0.30783669638667294,656,1475
Gentamicin,0.814266562461853,0.20396600566572237,432,1686
Imipenem,0.9093915820121765,0.2338104976141786,1372,4496
Levofloxacin,0.7348308563232422,0.2,833,3332
Meropenem,0.8628008365631104,0.1699335265041759,997,4870
Nitrofurantoin,0.7946547269821167,0.21875,98,350
Norfloxacin,0.5218034982681274,0.1553398058252427,192,1044
Oxacillin,0.9075711369514465,0.4059090909090909,893,1307
Penicillin,0.9808489084243774,0.7350332594235033,1989,717
Piperacillin-Tazobactam,0.7843080759048462,0.22910764872521247,1294,4354
Rifampicin,0.5665862560272217,0.04306436990027199,95,2111
Teicoplanin,0.4945125877857208,0.027830487033523088,44,1537
Tetracycline,0.8484430909156799,0.2967644084934277,587,1391
Tobramycin,0.42482495307922363,0.10230108123093984,369,3238
micro,0.8678299784660339,0.2704975119356434,,
macro,0.7494408498207729,NaN,,
