,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.9409642815589905,0.9183762669563293,2080,1079
1,Cefotaxim,0.9401514530181885,0.9183003306388855,1490,772
2,Ceftazidime,0.947907567024231,0.9187244772911072,1579,829
3,Ceftriaxone,0.9417403340339661,0.9188154935836792,730,406
4,Ciprofloxacin,0.9364849328994751,0.9184547066688538,1679,839
5,Clindamycin,0.9380403161048889,0.9184485673904419,1424,733
6,Cotrimoxazole,0.9473592042922974,0.9183713793754578,2646,1274
7,Erythromycin,0.9430320262908936,0.9184572696685791,1254,636
8,Fosfomycin,0.932478666305542,0.918079137802124,1288,630
9,Gentamicin,0.9377216696739197,0.9175757765769958,2331,1157
10,Imipenem,0.9419254064559937,0.9174238443374634,2125,973
11,Levofloxacin,0.9507671594619751,0.9176176190376282,745,381
12,Meropenem,0.9495815634727478,0.9179890155792236,1671,837
13,Moxifloxacin,0.9439108371734619,0.9180781841278076,1072,541
14,Oxacillin,0.9473075866699219,0.9182140231132507,724,375
15,PenicillinG,0.9488190412521362,0.9185094833374023,1033,515
16,Piperacillin-Tazobactam,0.9349893927574158,0.9181674718856812,1627,795
17,Tetracycline,0.9525054693222046,0.9183505773544312,769,386
18,Vancomycin,0.9422307014465332,0.9183408617973328,1424,742
