,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.9402362108230591,0.9161354303359985,2086,1013
1,Cefotaxim,0.9367852210998535,0.9159641265869141,1501,738
2,Ceftazidime,0.9469948410987854,0.9163501858711243,1598,796
3,Ceftriaxone,0.9328403472900391,0.9162524938583374,736,390
4,Ciprofloxacin,0.9362923502922058,0.9156318306922913,1733,766
5,Clindamycin,0.9410965442657471,0.9156215786933899,1440,729
6,Cotrimoxazole,0.9375694990158081,0.9152382612228394,2639,1296
7,Erythromycin,0.9450293779373169,0.915294885635376,1312,601
8,Fosfomycin,0.9429535865783691,0.9153314232826233,1312,635
9,Gentamicin,0.9414334297180176,0.915385365486145,2356,1164
10,Imipenem,0.9479236602783203,0.9156919121742249,2061,981
11,Levofloxacin,0.9302927255630493,0.9153313636779785,827,355
12,Meropenem,0.9476180672645569,0.9156754612922668,1660,827
13,Moxifloxacin,0.9447781443595886,0.915790319442749,1069,544
14,Oxacillin,0.959961473941803,0.9162548184394836,753,396
15,PenicillinG,0.9390696883201599,0.9164077043533325,1019,546
16,Piperacillin-Tazobactam,0.9414994716644287,0.9164339900016785,1605,792
17,Tetracycline,0.949708878993988,0.9165977835655212,824,399
18,Vancomycin,0.9344074726104736,0.9164361953735352,1469,712
