,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.9416269063949585,0.9152801632881165,2070,990
1,Cefotaxim,0.9450945854187012,0.9152647256851196,1516,655
2,Ceftazidime,0.9424521327018738,0.9153520464897156,1581,744
3,Ceftriaxone,0.9356206655502319,0.9151493906974792,701,358
4,Ciprofloxacin,0.9439283609390259,0.9152094125747681,1661,778
5,Clindamycin,0.942460298538208,0.9152418375015259,1544,690
6,Cotrimoxazole,0.936683714389801,0.9149351119995117,2612,1308
7,Erythromycin,0.9406399726867676,0.9148363471031189,1335,643
8,Fosfomycin,0.9425549507141113,0.9149352312088013,1334,649
9,Gentamicin,0.9423688650131226,0.9152317047119141,2331,1142
10,Imipenem,0.9435729384422302,0.9153444170951843,2008,993
11,Levofloxacin,0.9452559351921082,0.915506899356842,814,405
12,Meropenem,0.9401052594184875,0.9154360294342041,1626,796
13,Moxifloxacin,0.9355744123458862,0.9154083132743835,1001,552
14,Oxacillin,0.9375954270362854,0.9154059290885925,778,404
15,PenicillinG,0.9409435987472534,0.9153484106063843,1088,521
16,Piperacillin-Tazobactam,0.9404348731040955,0.915522575378418,1526,806
17,Tetracycline,0.9293902516365051,0.9151212573051453,841,401
18,Vancomycin,0.9402870535850525,0.9151716232299805,1505,738
