class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,0.5909618735313416,25,655
Amikacin,0.5904988646507263,975,16247
Aminoglycosides,0.5794118046760559,20,102
Amoxicillin,0.4614604115486145,136,493
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.3338276743888855,9920,15308
Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.6532737612724304,24,56
AmphotericinB,NaN,NaN,NaN
Ampicillin,NaN,NaN,NaN
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,0.587810754776001,21966,4905
Ampicillin-Sulbactam,0.5757575631141663,11,3
Anidulafungin,0.3317359685897827,191,484
Azithromycin,0.34136542677879333,12,83
Aztreonam,0.5742864608764648,604,252
Bacitracin,0.0,4,0
Benzylpenicillin,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN
Caspofungin,0.4662058353424072,37,649
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,0.5770838260650635,4223,5813
Cefepime,0.5613811612129211,6518,21958
Cefixime,0.5269607901573181,6,68
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN
Cefoxitin_screen,0.4510638117790222,5,47
Cefpodoxime,0.764065146446228,2338,4382
Ceftarolin,0.12222222983837128,10,27
Ceftazidime,0.5785160660743713,2455,14937
Ceftazidime-Avibactam,0.3046875,16,56
Ceftobiprole,0.2291666716337204,38,24
Ceftolozane-Tazobactam,0.6873016357421875,35,72
Ceftriaxone,0.6246430277824402,7299,19246
Cefuroxime,0.6769226789474487,4475,6103
Chloramphenicol,0.5400000214576721,28,175
Ciprofloxacin,0.6228113770484924,7462,23081
Clarithromycin,0.5014013051986694,59,254
Clindamycin,0.6642622351646423,3637,7975
Colistin,0.37784311175346375,2850,15483
Cotrimoxazol,NaN,NaN,NaN
Cotrimoxazole,0.6627705097198486,4872,21768
Daptomycin,0.47266703844070435,100,11284
Doxycycline,0.7401432991027832,12,93
Ertapenem,0.5054790377616882,288,14465
Erythromycin,0.6686633825302124,4529,6550
Fluconazol,NaN,NaN,NaN
Fluconazole,0.5366590023040771,265,410
Fosfomycin,0.7021276354789734,47,34
Fosfomycin-Trometamol,0.5547745227813721,1326,4803
Fusidic acid,0.5672957301139832,3413,7224
Gentamicin,0.6907984018325806,2303,8276
Gentamicin_high_level,0.5985848903656006,106,580
Imipenem,0.7650158405303955,6872,22519
Isavuconazole,0.75,1,4
Itraconazole,0.5821266174316406,252,416
Levofloxacin,0.502257227897644,3973,16811
Linezolid,0.28565025329589844,14,12274
Meropenem,0.7740203142166138,5145,24386
Meropenem_with_meningitis,0.48449763655662537,28,182
Meropenem_without_meningitis,0.7576642036437988,5,137
Metronidazole,0.5076640248298645,14,233
Micafungin,0.3690582513809204,103,577
Minocycline,0.4527972340583801,22,52
Moxifloxacin,0.46358174085617065,91,320
Mupirocin,0.6467019319534302,25,3790
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.9062442779541016,412,1696
Norfloxacin,0.4727858901023865,871,5234
Novobiocin,NaN,NaN,NaN
Oxacillin,0.7892841100692749,4641,6344
Penicillin,0.5374129414558411,9881,3525
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,0.45439091324806213,178,152
Penicillin_with_meningitis,0.41201716661453247,58,233
Penicillin_with_other_infections,0.4441460967063904,51,241
Penicillin_with_pneumonia,0.331850528717041,12,281
Penicillin_without_endokarditis,0.461108535528183,141,184
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.5686980485916138,6546,21852
Polymyxin B,NaN,NaN,NaN
Posaconazole,0.22519145905971527,51,361
Quinolones,0.660385251045227,12,199
Rifampicin,0.7766150236129761,542,10424
Rifampicin_1mg-l,0.25,2,8
Strepomycin_high_level,NaN,NaN,NaN
Teicoplanin,0.5276103019714355,226,7465
Teicoplanin_GRD,0.5,2,10
Tetracycline,0.8299516439437866,3082,6836
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,0.0,5,0
Tigecycline,0.7658873200416565,48,12232
Tobramycin,0.5135678648948669,1695,16495
Vancomycin,0.8312676548957825,178,14898
Voriconazole,0.38076838850975037,29,473
micro,0.5980949997901917,,
macro,0.5269754693492666,,
