class,ROCAUC,n_positives,n_negatives
Amikacin,0.8366230726242065,200,4208
Amoxicillin-Clavulanic acid,0.9136582016944885,2696,4984
Ampicillin,0.8988156318664551,1725,803
Ampicillin-Amoxicillin,0.939498245716095,4380,984
Aztreonam,0.8452779054641724,138,91
Benzylpenicillin,0.9470497965812683,145,90
Cefazolin,0.9380152821540833,835,1182
Cefepime,0.8963308334350586,1468,6358
Cefpodoxime,0.932603120803833,467,877
Ceftazidime,0.8089826703071594,712,4918
Ceftriaxone,0.8943751454353333,1716,5715
Cefuroxime,0.9173375368118286,1192,1707
Ciprofloxacin,0.8619840145111084,1889,7355
Clarithromycin,0.7945988178253174,54,240
Clindamycin,0.8394358158111572,888,1943
Colistin,0.9890560507774353,586,3154
Cotrimoxazole,0.8820401430130005,1461,4898
Ertapenem,0.893410861492157,102,4323
Erythromycin,0.8282456398010254,1103,1831
Fosfomycin,0.8871126174926758,500,2042
Fosfomycin-Trometamol,0.8139060139656067,281,961
Fusidic acid,0.8583348393440247,727,1699
Gentamicin,0.9018530249595642,704,4555
Imipenem,0.956881046295166,1517,6344
Levofloxacin,0.8819335103034973,828,3611
Meropenem,0.9490888714790344,1035,5444
Mupirocin,0.9792315363883972,114,914
Nitrofurantoin,0.9773408770561218,276,701
Norfloxacin,0.8042203783988953,256,1430
Oxacillin,0.939329981803894,1094,1541
Penicillin,0.9249997138977051,2494,848
Piperacillin-Tazobactam,0.8692635297775269,1556,6240
Polymyxin B,0.9999229907989502,111,468
Rifampicin,0.9199498891830444,118,2987
Teicoplanin,0.9418073892593384,48,1688
Tetracycline,0.9094849228858948,726,2087
Tobramycin,0.8258453607559204,348,3364
Vancomycin,0.9777297973632812,51,4080
micro,0.9255324006080627,,
macro,0.8993572388824663,,
