class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN,NaN
Amikacin,0.03458777070045471,0.017876489707475622,33,1813
Aminoglycosides,NaN,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.3917384445667267,0.3067781690140845,1394,3150
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN,NaN
Ampicillin,0.8858605623245239,0.6650538816802287,3024,1523
Ampicillin+Sulbactam,NaN,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN,NaN
Azithromycin,0.15357142686843872,0.03636363636363636,2,53
Aztreonam,NaN,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN,NaN
Benzylpenicillin,NaN,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN,NaN
Caspofungin,NaN,NaN,NaN,NaN
Cefalotin-Cefazolin,0.9842401742935181,0.9807692307692307,51,1
Cefazolin,NaN,NaN,NaN,NaN
Cefepime,0.15981486439704895,0.14068441064638784,259,1582
Cefixime,NaN,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN,NaN
Cefoxitin_screen,NaN,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN,NaN
Ceftazidime,0.14263813197612762,0.12761355443403027,354,2420
Ceftazidime-Avibactam,NaN,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN,NaN
Ceftolozane-Tazobactam,1.0,0.5,1,1
Ceftriaxone,0.5984981060028076,0.24904347826086956,716,2159
Cefuroxime,0.34179893136024475,0.378606615059817,1076,1766
Chloramphenicol,NaN,NaN,NaN,NaN
Ciprofloxacin,0.15321102738380432,0.10473419730230098,396,3385
Clarithromycin,0.3243252635002136,0.20476190476190476,215,835
Clindamycin,0.8208967447280884,0.32461161079313167,397,826
Colistin,0.5585281848907471,0.4166666666666667,5,7
Cotrimoxazol,NaN,NaN,NaN,NaN
Cotrimoxazole,0.6239416599273682,0.3074846625766871,1253,2822
Daptomycin,NaN,NaN,NaN,NaN
Doxycycline,0.17841508984565735,0.052568697729988054,44,793
Ertapenem,NaN,NaN,NaN,NaN
Erythromycin,0.07028388231992722,0.05555555555555555,3,51
Fluconazol,NaN,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN,NaN
Fosfomycin,0.7230116128921509,0.400796812749004,503,752
Fosfomycin-Trometamol,NaN,NaN,NaN,NaN
Fusidic acid,0.16091060638427734,0.04161073825503356,31,714
Gentamicin,0.10109834372997284,0.13781007266349285,550,3441
Gentamicin_high_level,NaN,NaN,NaN,NaN
Imipenem,0.10088707506656647,0.023706896551724137,44,1812
Isavuconazole,NaN,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN,NaN
Levofloxacin,NaN,NaN,NaN,NaN
Linezolid,0.03786151856184006,0.009771986970684038,3,304
Meropenem,0.31483134627342224,0.3076923076923077,8,18
Meropenem_with_meningitis,NaN,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN,NaN
Metronidazole,0.014958560466766357,0.01904761904761905,2,103
Micafungin,NaN,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN,NaN
Moxifloxacin,0.04216616973280907,0.05714285714285714,4,66
Mupirocin,0.9373577833175659,0.7925925925925926,535,140
Neomycin,NaN,NaN,NaN,NaN
Nitrofurantoin,0.668335497379303,0.1856082238720731,325,1426
Norfloxacin,0.11147000640630722,0.14350112697220135,191,1140
Novobiocin,0.07579555362462997,0.07,7,93
Oxacillin,0.8817679286003113,0.4548366431774504,710,851
Penicillin,0.6603338122367859,0.6373239436619719,724,412
PenicillinG,NaN,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN,NaN
Piperacillin-Tazobactam,0.16063612699508667,0.12389735364875702,309,2185
Polymyxin B,0.11322775483131409,0.17413113579362235,486,2305
Posaconazole,NaN,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN,NaN
Rifampicin,0.011793107725679874,0.005208333333333333,4,764
Rifampicin_1mg-l,NaN,NaN,NaN,NaN
Strepomycin_high_level,NaN,NaN,NaN,NaN
Teicoplanin,NaN,NaN,NaN,NaN
Teicoplanin_GRD,NaN,NaN,NaN,NaN
Tetracycline,0.27742844820022583,0.3333333333333333,23,46
Ticarcillin,NaN,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN,NaN
Tigecycline,NaN,NaN,NaN,NaN
Tobramycin,NaN,NaN,NaN,NaN
Vancomycin,0.21333926916122437,0.014234875444839857,16,1108
Voriconazole,NaN,NaN,NaN,NaN
micro,0.32045015692710876,0.25104004398423896,,
macro,0.3619322440742205,NaN,,
