,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.58880215883255,0.49782004952430725,2094,1047
1,Cefotaxim,0.5707783102989197,0.4983059763908386,1493,782
2,Ceftazidime,0.581685483455658,0.49799904227256775,1647,778
3,Ceftriaxone,0.5887048840522766,0.4983479678630829,716,354
4,Ciprofloxacin,0.5663661360740662,0.4966275691986084,1774,775
5,Clindamycin,0.5860646963119507,0.49728795886039734,1433,691
6,Cotrimoxazole,0.5773484110832214,0.4967159628868103,2661,1265
7,Erythromycin,0.5922824144363403,0.4970536530017853,1274,598
8,Fosfomycin,0.5823694467544556,0.49810755252838135,1258,712
9,Gentamicin,0.5731009840965271,0.49848130345344543,2298,1209
10,Imipenem,0.5666477680206299,0.4980189800262451,2075,1022
11,Levofloxacin,0.6026634573936462,0.49828237295150757,744,376
12,Meropenem,0.5824788212776184,0.4978535771369934,1720,817
13,Moxifloxacin,0.5559886693954468,0.4977380037307739,1024,522
14,Oxacillin,0.5720871686935425,0.49790072441101074,723,378
15,PenicillinG,0.5734630823135376,0.4974564015865326,1035,481
16,Piperacillin-Tazobactam,0.5603103637695312,0.4966641068458557,1638,801
17,Tetracycline,0.578462541103363,0.49681371450424194,786,373
18,Vancomycin,0.5752730369567871,0.4968745708465576,1404,723
