,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.5263684988021851,0.3627798557281494,2031,1029
1,Cefotaxim,0.5137664079666138,0.36234748363494873,1461,710
2,Ceftazidime,0.5110794305801392,0.36143064498901367,1585,740
3,Ceftriaxone,0.5610527992248535,0.36245837807655334,691,368
4,Ciprofloxacin,0.5118955969810486,0.36208486557006836,1637,802
5,Clindamycin,0.5099087357521057,0.3620111346244812,1491,743
6,Cotrimoxazole,0.5204267501831055,0.3626323938369751,2623,1297
7,Erythromycin,0.5158012509346008,0.36245590448379517,1326,652
8,Fosfomycin,0.5444638133049011,0.3624040484428406,1364,619
9,Gentamicin,0.5223111510276794,0.36185845732688904,2362,1111
10,Imipenem,0.5138306021690369,0.36189401149749756,2017,984
11,Levofloxacin,0.5177782773971558,0.36225736141204834,807,412
12,Meropenem,0.5336211919784546,0.36229193210601807,1620,802
13,Moxifloxacin,0.5293288230895996,0.3624810576438904,1048,505
14,Oxacillin,0.5159827470779419,0.36245596408843994,781,401
15,PenicillinG,0.5309035181999207,0.36237406730651855,1107,502
16,Piperacillin-Tazobactam,0.5366106033325195,0.36245930194854736,1583,749
17,Tetracycline,0.5219234228134155,0.3623653054237366,823,419
18,Vancomycin,0.5239423513412476,0.36195045709609985,1515,728
