,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.4552997350692749,0.3001967668533325,2059,992
1,Cefotaxim,0.4758506715297699,0.300296813249588,1466,721
2,Ceftazidime,0.4836549758911133,0.3011196553707123,1565,800
3,Ceftriaxone,0.49555259943008423,0.30128148198127747,713,345
4,Ciprofloxacin,0.46023526787757874,0.3007407784461975,1680,827
5,Clindamycin,0.48475897312164307,0.3008015751838684,1445,711
6,Cotrimoxazole,0.4760635197162628,0.301910400390625,2573,1337
7,Erythromycin,0.4784582257270813,0.3017517328262329,1306,614
8,Fosfomycin,0.46962976455688477,0.3014398217201233,1338,613
9,Gentamicin,0.46975478529930115,0.30120694637298584,2360,1121
10,Imipenem,0.47860345244407654,0.3013952374458313,2056,986
11,Levofloxacin,0.4883963465690613,0.3014886677265167,792,384
12,Meropenem,0.4947302043437958,0.3012942969799042,1706,772
13,Moxifloxacin,0.4711427688598633,0.3012927770614624,1022,506
14,Oxacillin,0.4568093419075012,0.30105096101760864,771,370
15,PenicillinG,0.4616989195346832,0.30107346177101135,1022,508
16,Piperacillin-Tazobactam,0.4430730640888214,0.3004903793334961,1603,774
17,Tetracycline,0.4724794030189514,0.30085504055023193,779,423
18,Vancomycin,0.4819824695587158,0.3013750910758972,1427,737
