,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.5038022398948669,0.3102738559246063,2078,1081
1,Cefotaxim,0.5055403113365173,0.3100086450576782,1515,747
2,Ceftazidime,0.5000624656677246,0.30914223194122314,1642,766
3,Ceftriaxone,0.49891066551208496,0.30883029103279114,770,366
4,Ciprofloxacin,0.5115193724632263,0.3093375861644745,1651,867
5,Clindamycin,0.5121883153915405,0.31018704175949097,1399,758
6,Cotrimoxazole,0.507512629032135,0.309989869594574,2620,1300
7,Erythromycin,0.5053831338882446,0.3096989393234253,1276,614
8,Fosfomycin,0.49972033500671387,0.30946898460388184,1285,633
9,Gentamicin,0.49546486139297485,0.30936405062675476,2315,1173
10,Imipenem,0.5135213136672974,0.3095271587371826,2061,1037
11,Levofloxacin,0.4892514646053314,0.3094014525413513,752,374
12,Meropenem,0.5052623748779297,0.3094888925552368,1657,851
13,Moxifloxacin,0.5274235606193542,0.3096166253089905,1082,531
14,Oxacillin,0.5360444188117981,0.3098772168159485,727,372
15,PenicillinG,0.520728588104248,0.31017231941223145,1017,531
16,Piperacillin-Tazobactam,0.519747257232666,0.3102443218231201,1622,800
17,Tetracycline,0.47248271107673645,0.30993568897247314,777,378
18,Vancomycin,0.5100720524787903,0.30993208289146423,1445,721
