class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.7072221636772156,26,900
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.49486687779426575,536,1454
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN
Ampicillin,0.9521666765213013,714,634
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,NaN,NaN,NaN
Aztreonam,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN
Benzylpenicillin,0.31116825342178345,618,457
Benzylpenicillin_others,0.5600000023841858,2,25
Benzylpenicillin_with_meningitis,0.04000002145767212,2,25
Benzylpenicillin_with_pneumonia,0.11538463830947876,1,26
Caspofungin,NaN,NaN,NaN
Cefalotin-Cefazolin,NaN,NaN,NaN
Cefazolin,NaN,NaN,NaN
Cefepime,0.551103413105011,269,1420
Cefixime,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,0.5206275582313538,234,566
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.5655399560928345,106,834
Ceftazidime-Avibactam,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,NaN,NaN,NaN
Ceftriaxone,0.6077364087104797,115,970
Cefuroxime,0.3278200924396515,304,499
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.6703373193740845,339,1680
Clarithromycin,0.482819527387619,36,173
Clindamycin,0.5888020396232605,211,822
Colistin,NaN,NaN,NaN
Cotrimoxazol,0.3077256679534912,196,1553
Cotrimoxazole,NaN,NaN,NaN
Daptomycin,0.8342617750167847,1,718
Doxycycline,NaN,NaN,NaN
Ertapenem,0.4218471348285675,20,785
Erythromycin,0.5910603404045105,234,714
Fluconazol,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.866905152797699,293,1242
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.6412743330001831,176,560
Gentamicin,0.5081595778465271,133,1414
Gentamicin_high_level,0.5738672018051147,36,179
Imipenem,0.8505701422691345,92,1123
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,0.7257447242736816,197,1007
Linezolid,NaN,NaN,NaN
Meropenem,0.8495228886604309,11,905
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,0.27586209774017334,3,29
Micafungin,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN
Moxifloxacin,NaN,NaN,NaN
Mupirocin,0.290495902299881,10,726
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.6870635151863098,534,481
Norfloxacin,0.6943832635879517,143,657
Novobiocin,NaN,NaN,NaN
Oxacillin,0.8357995748519897,186,545
Penicillin,NaN,NaN,NaN
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.6217098832130432,188,987
Polymyxin B,NaN,NaN,NaN
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.7318903803825378,13,789
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,0.598901093006134,26,56
Teicoplanin,0.2616848051548004,10,736
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.6035114526748657,130,747
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,0.5528795719146729,2,955
Tobramycin,NaN,NaN,NaN
Vancomycin,0.8695696592330933,16,1220
Voriconazole,NaN,NaN,NaN
micro,0.6620116233825684,,
macro,0.5422571271657943,,
