,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.9304043650627136,0.9057134985923767,2088,1071
1,Cefotaxim,0.9232631325721741,0.9050005674362183,1516,746
2,Ceftazidime,0.9279325604438782,0.9045472741127014,1632,776
3,Ceftriaxone,0.9313199520111084,0.9044219255447388,762,374
4,Ciprofloxacin,0.9320517778396606,0.9046193957328796,1643,875
5,Clindamycin,0.9376102685928345,0.9049637913703918,1432,725
6,Cotrimoxazole,0.9311139583587646,0.9048357009887695,2634,1286
7,Erythromycin,0.9301636815071106,0.9046468734741211,1249,641
8,Fosfomycin,0.9295578002929688,0.9043409824371338,1279,639
9,Gentamicin,0.9284429550170898,0.9039921164512634,2347,1141
10,Imipenem,0.932087779045105,0.9041117429733276,2092,1006
11,Levofloxacin,0.9266873002052307,0.9039993286132812,743,383
12,Meropenem,0.9348668456077576,0.9041835069656372,1662,846
13,Moxifloxacin,0.9363933801651001,0.9044127464294434,1051,562
14,Oxacillin,0.9413187503814697,0.9044698476791382,763,336
15,PenicillinG,0.9355765581130981,0.9046370983123779,1007,541
16,Piperacillin-Tazobactam,0.9384614825248718,0.904998242855072,1601,821
17,Tetracycline,0.9381079077720642,0.9051990509033203,765,390
18,Vancomycin,0.9395449757575989,0.9054508805274963,1425,741
