,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.9339998364448547,0.9029052257537842,2035,1025
1,Cefotaxim,0.9316717386245728,0.903221845626831,1422,749
2,Ceftazidime,0.9283351898193359,0.9027571082115173,1602,723
3,Ceftriaxone,0.9227334260940552,0.9024319052696228,715,344
4,Ciprofloxacin,0.9401616454124451,0.9029829502105713,1650,789
5,Clindamycin,0.9342150092124939,0.9030576348304749,1506,728
6,Cotrimoxazole,0.9303411841392517,0.9026785492897034,2653,1267
7,Erythromycin,0.9280235171318054,0.9024853706359863,1349,629
8,Fosfomycin,0.9301276803016663,0.9025384783744812,1339,644
9,Gentamicin,0.9260226488113403,0.90211021900177,2349,1124
10,Imipenem,0.9359915852546692,0.9021604657173157,2035,966
11,Levofloxacin,0.9344336986541748,0.9022167921066284,852,367
12,Meropenem,0.9303205609321594,0.902053952217102,1593,829
13,Moxifloxacin,0.9173627495765686,0.9018256664276123,1034,519
14,Oxacillin,0.9465136528015137,0.9020269513130188,801,381
15,PenicillinG,0.9323858022689819,0.9021785259246826,1052,557
16,Piperacillin-Tazobactam,0.9353823661804199,0.9024572968482971,1579,753
17,Tetracycline,0.9159935712814331,0.9021990299224854,801,441
18,Vancomycin,0.9444295167922974,0.9027331471443176,1505,738
