,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Ampicillin,0.9402804970741272,0.906823992729187,2153,946
1,Cefotaxim,0.9309800863265991,0.90667724609375,1516,723
2,Ceftazidime,0.9273717403411865,0.9064643383026123,1590,804
3,Ceftriaxone,0.9203187227249146,0.9062140583992004,753,373
4,Ciprofloxacin,0.9373377561569214,0.9062406420707703,1672,827
5,Clindamycin,0.9398353695869446,0.9066625237464905,1426,743
6,Cotrimoxazole,0.9328183531761169,0.9066870808601379,2659,1276
7,Erythromycin,0.9449999332427979,0.9070631861686707,1309,604
8,Fosfomycin,0.9409282207489014,0.9072259068489075,1325,622
9,Gentamicin,0.9252482652664185,0.9067968726158142,2409,1111
10,Imipenem,0.9318001866340637,0.9070292711257935,1985,1057
11,Levofloxacin,0.9206997156143188,0.9066979885101318,788,394
12,Meropenem,0.9352702498435974,0.9068741798400879,1646,841
13,Moxifloxacin,0.9381198287010193,0.906957745552063,1064,549
14,Oxacillin,0.9402749538421631,0.9072130918502808,736,413
15,PenicillinG,0.9257192611694336,0.9071004390716553,1051,514
16,Piperacillin-Tazobactam,0.9374402761459351,0.9070629477500916,1667,730
17,Tetracycline,0.9332873821258545,0.9070141911506653,838,385
18,Vancomycin,0.9300594329833984,0.9070913791656494,1413,768
