class,ROCAUC,n_positives,n_negatives
Amikacin,0.8535717725753784,205,3260
Amoxicillin-Clavulanic acid,0.9156178832054138,2038,3102
Ampicillin-Amoxicillin,0.945469081401825,4406,999
Cefazolin,0.9359918832778931,871,1161
Cefepime,0.9117551445960999,1346,4383
Cefpodoxime,0.9123222231864929,474,869
Ceftazidime,0.8421850204467773,497,3002
Ceftriaxone,0.9035058617591858,1514,3884
Cefuroxime,0.9296422004699707,916,1217
Ciprofloxacin,0.8936619758605957,1521,4630
Clindamycin,0.8616901636123657,737,1599
Colistin,0.9949847459793091,560,3124
Cotrimoxazole,0.8637570738792419,994,4376
Ertapenem,0.9207093715667725,59,2933
Erythromycin,0.8487684726715088,912,1314
Fosfomycin-Trometamol,0.8242373466491699,273,952
Fusidic acid,0.8660233616828918,690,1453
Gentamicin,0.9313176870346069,475,1668
Imipenem,0.9599204063415527,1368,4541
Levofloxacin,0.8931167125701904,809,3357
Meropenem,0.9522262215614319,1051,4917
Nitrofurantoin,0.9413871765136719,83,333
Norfloxacin,0.8410706520080566,196,1019
Oxacillin,0.9289465546607971,944,1288
Penicillin,0.9548074007034302,1980,700
Piperacillin-Tazobactam,0.8836752772331238,1341,4378
Rifampicin,0.9234669804573059,98,2107
Teicoplanin,0.975691556930542,40,1482
Tetracycline,0.922957718372345,604,1402
Tobramycin,0.8636792898178101,340,3312
micro,0.9299473762512207,,
macro,0.9065385739008586,,
