,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.918218731880188,0.865818440914154,2495,917
1,Amoxicillin-Clavulanic acid,0.9272537231445312,0.8661031723022461,3650,1358
2,Ampicillin-Amoxicillin,0.927687406539917,0.8658843040466309,3899,1434
3,Cefazolin,0.9064522981643677,0.865533173084259,1476,550
4,Cefepime,0.925934374332428,0.8654159903526306,4152,1521
5,Cefpodoxime,0.9191740155220032,0.8651790022850037,1006,328
6,Ceftazidime,0.9206535220146179,0.8649750351905823,2524,917
7,Ceftriaxone,0.9253602027893066,0.864967405796051,3875,1412
8,Cefuroxime,0.9252759218215942,0.8647382259368896,1586,563
9,Ciprofloxacin,0.9279190897941589,0.8648291230201721,4434,1674
10,Clindamycin,0.9302723407745361,0.8651672601699829,1663,687
11,Colistin,0.9263831973075867,0.865211009979248,2625,991
12,Cotrimoxazole,0.9155226945877075,0.8649872541427612,3887,1439
13,Ertapenem,0.9181720018386841,0.8649513721466064,2087,815
14,Erythromycin,0.9240275025367737,0.864910900592804,1641,620
15,Fosfomycin-Trometamol,0.9224855899810791,0.8648079633712769,916,310
16,Fusidic acid,0.9225802421569824,0.8647953867912292,1593,566
17,Gentamicin,0.9266220331192017,0.8649025559425354,1562,584
18,Imipenem,0.9249748587608337,0.864959716796875,4183,1638
19,Levofloxacin,0.9206440448760986,0.8648262023925781,2979,1131
20,Meropenem,0.9336990118026733,0.8652071356773376,4297,1591
21,Nitrofurantoin,0.9395141005516052,0.8653305768966675,292,139
22,Norfloxacin,0.9288820028305054,0.8653976321220398,874,347
23,Oxacillin,0.9309159517288208,0.8656064867973328,1601,618
24,Penicillin,0.9275870323181152,0.865574061870575,1964,749
25,Piperacillin-Tazobactam,0.9210900068283081,0.8656456470489502,4048,1595
26,Rifampicin,0.9248447418212891,0.8657615184783936,1622,601
27,Teicoplanin,0.9269077777862549,0.8658414483070374,1099,440
28,Tetracycline,0.9222058057785034,0.8658207654953003,1455,564
29,Tobramycin,0.9304375648498535,0.8660461902618408,2575,1019
