,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9152929186820984,0.8609144687652588,2520,945
1,Amoxicillin-Clavulanic acid,0.9237633347511292,0.8612679839134216,3698,1442
2,Ampicillin-Amoxicillin,0.9166682958602905,0.8610413074493408,3924,1481
3,Cefazolin,0.9291561245918274,0.8613998293876648,1459,573
4,Cefepime,0.9205854535102844,0.8613643050193787,4162,1567
5,Cefpodoxime,0.9305623769760132,0.861489474773407,963,380
6,Ceftazidime,0.9175543189048767,0.8613957166671753,2531,968
7,Ceftriaxone,0.9207228422164917,0.8614335656166077,3971,1427
8,Cefuroxime,0.9253555536270142,0.8616909384727478,1498,635
9,Ciprofloxacin,0.9251002073287964,0.8618407845497131,4502,1649
10,Clindamycin,0.9290226101875305,0.8619083762168884,1714,622
11,Colistin,0.9178395867347717,0.8617256879806519,2715,969
12,Cotrimoxazole,0.9180617928504944,0.8618171811103821,3897,1473
13,Ertapenem,0.9105174541473389,0.8614820837974548,2191,801
14,Erythromycin,0.925244927406311,0.8615946173667908,1620,606
15,Fosfomycin-Trometamol,0.9148852825164795,0.8615772724151611,868,357
16,Fusidic acid,0.9247376918792725,0.8617708683013916,1534,609
17,Gentamicin,0.9267529845237732,0.8619440197944641,1550,593
18,Imipenem,0.9172082543373108,0.8615715503692627,4349,1560
19,Levofloxacin,0.9211544990539551,0.861809492111206,3005,1161
20,Meropenem,0.9190911054611206,0.8617900609970093,4325,1643
21,Nitrofurantoin,0.9414655566215515,0.8618655204772949,300,116
22,Norfloxacin,0.921748161315918,0.8617969155311584,893,322
23,Oxacillin,0.9254328012466431,0.8617513179779053,1612,620
24,Penicillin,0.9245122075080872,0.8618186116218567,1945,735
25,Piperacillin-Tazobactam,0.9174367189407349,0.861420214176178,4208,1511
26,Rifampicin,0.9266772866249084,0.8615677356719971,1589,616
27,Teicoplanin,0.9173144102096558,0.8615604639053345,1111,411
28,Tetracycline,0.9107103943824768,0.8613970279693604,1467,539
29,Tobramycin,0.9099521040916443,0.8612275123596191,2641,1011
