,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9219679236412048,0.8696215152740479,2582,913
1,Amoxicillin-Clavulanic acid,0.9228439927101135,0.8693495392799377,3679,1363
2,Ampicillin-Amoxicillin,0.926466703414917,0.8693063855171204,3969,1434
3,Cefazolin,0.9296941161155701,0.8693084120750427,1428,538
4,Cefepime,0.9302631616592407,0.8696796894073486,4177,1534
5,Cefpodoxime,0.9289804697036743,0.86954265832901,990,341
6,Ceftazidime,0.9268711805343628,0.869510293006897,2553,970
7,Ceftriaxone,0.9353010654449463,0.8701156377792358,3862,1454
8,Cefuroxime,0.9187004566192627,0.8698996901512146,1524,543
9,Ciprofloxacin,0.9280588030815125,0.8695036768913269,4592,1525
10,Clindamycin,0.9331886172294617,0.8696058392524719,1689,588
11,Colistin,0.9308009147644043,0.8696967959403992,2726,1006
12,Cotrimoxazole,0.926405668258667,0.8698428273200989,3851,1469
13,Ertapenem,0.9245075583457947,0.869804859161377,2173,831
14,Erythromycin,0.942335307598114,0.8701575398445129,1603,566
15,Fosfomycin-Trometamol,0.9314848184585571,0.8702332973480225,876,338
16,Fusidic acid,0.9487466812133789,0.8704497218132019,1574,504
17,Gentamicin,0.9230561852455139,0.8703925013542175,1523,542
18,Imipenem,0.92665696144104,0.8702710270881653,4322,1580
19,Levofloxacin,0.9343097805976868,0.8707114458084106,3053,1141
20,Meropenem,0.9207969903945923,0.8701913356781006,4314,1601
21,Nitrofurantoin,0.924968421459198,0.8702172040939331,282,129
22,Norfloxacin,0.9103738069534302,0.870173454284668,887,324
23,Oxacillin,0.9165403842926025,0.8700218200683594,1603,546
24,Penicillin,0.9247742891311646,0.8700497150421143,1959,681
25,Piperacillin-Tazobactam,0.9292805194854736,0.8701130747795105,4168,1528
26,Rifampicin,0.9296313524246216,0.8701532483100891,1572,578
27,Teicoplanin,0.9229378700256348,0.8701688051223755,1101,417
28,Tetracycline,0.93007493019104,0.8703187108039856,1364,569
29,Tobramycin,0.9191149473190308,0.8700449466705322,2742,955
