,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9165494441986084,0.8598698377609253,2479,919
1,Amoxicillin-Clavulanic acid,0.9188075661659241,0.8597708940505981,3650,1349
2,Ampicillin-Amoxicillin,0.9154126644134521,0.8597902655601501,3895,1476
3,Cefazolin,0.9094908833503723,0.8595678806304932,1457,546
4,Cefepime,0.9137870073318481,0.859331488609314,4115,1562
5,Cefpodoxime,0.9297164082527161,0.8594651818275452,1019,349
6,Ceftazidime,0.9119399785995483,0.859025239944458,2536,904
7,Ceftriaxone,0.9232847690582275,0.8593090772628784,3838,1415
8,Cefuroxime,0.9276425838470459,0.8597092628479004,1496,610
9,Ciprofloxacin,0.9166154265403748,0.8596358299255371,4406,1677
10,Clindamycin,0.9200649261474609,0.8595218658447266,1695,639
11,Colistin,0.9265061020851135,0.8597508072853088,2633,996
12,Cotrimoxazole,0.917025089263916,0.8594105243682861,3908,1372
13,Ertapenem,0.9177711009979248,0.8593475818634033,2154,756
14,Erythromycin,0.9199433326721191,0.8592652082443237,1597,625
15,Fosfomycin-Trometamol,0.9177333116531372,0.8592433929443359,920,321
16,Fusidic acid,0.9182945489883423,0.8591563105583191,1572,559
17,Gentamicin,0.9267820715904236,0.8592953681945801,1527,591
18,Imipenem,0.9141801595687866,0.85915207862854,4273,1595
19,Levofloxacin,0.9258852601051331,0.8592789769172668,3056,1109
20,Meropenem,0.9225150346755981,0.8592799305915833,4312,1555
21,Nitrofurantoin,0.9061118960380554,0.8592631816864014,330,118
22,Norfloxacin,0.9181677103042603,0.8593135476112366,911,325
23,Oxacillin,0.920689582824707,0.8592608571052551,1602,598
24,Penicillin,0.9225752353668213,0.8593734502792358,1949,757
25,Piperacillin-Tazobactam,0.9243942499160767,0.8597527742385864,4106,1542
26,Rifampicin,0.9171565771102905,0.8596289753913879,1626,580
27,Teicoplanin,0.9195987582206726,0.8595219254493713,1201,380
28,Tetracycline,0.9222908616065979,0.8596491813659668,1404,574
29,Tobramycin,0.9272196888923645,0.8600567579269409,2607,1000
