class,ROCAUC,n_positives,n_negatives
Amoxicillin-Clavulanic acid,0.9237391948699951,272,638
Ampicillin,0.8958122134208679,591,320
Cefepime,0.7951566576957703,53,321
Ceftazidime,0.7629091739654541,74,492
Ceftriaxone,0.8896430730819702,144,442
Cefuroxime,0.888312041759491,217,364
Ciprofloxacin,0.8552075624465942,83,675
Clarithromycin,0.8604885339736938,48,145
Clindamycin,0.90456622838974,75,146
Cotrimoxazole,0.9166335463523865,284,531
Fosfomycin,0.8624022006988525,106,164
Gentamicin,0.9060134291648865,101,680
Nitrofurantoin,0.952123761177063,77,303
Oxacillin,0.9771074652671814,141,158
Penicillin,0.7514864206314087,138,78
Piperacillin-Tazobactam,0.7895182967185974,55,451
Polymyxin B,0.9989638328552246,104,464
micro,0.9178190231323242,,
macro,0.8782402136746574,,
