,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9147324562072754,0.8530208468437195,2511,954
1,Amoxicillin-Clavulanic acid,0.9176854491233826,0.8528217077255249,3758,1382
2,Ampicillin-Amoxicillin,0.9145025014877319,0.8523104190826416,3935,1470
3,Cefazolin,0.9156076312065125,0.8522387742996216,1495,537
4,Cefepime,0.9166823625564575,0.8522042632102966,4239,1490
5,Cefpodoxime,0.9231528043746948,0.8524597883224487,957,386
6,Ceftazidime,0.9154664278030396,0.85228031873703,2527,972
7,Ceftriaxone,0.9159936904907227,0.8520359992980957,3937,1461
8,Cefuroxime,0.9135433435440063,0.8520429730415344,1552,581
9,Ciprofloxacin,0.9082856178283691,0.8518661260604858,4456,1695
10,Clindamycin,0.9178698658943176,0.8519822955131531,1672,664
11,Colistin,0.9193234443664551,0.8521240949630737,2677,1007
12,Cotrimoxazole,0.9200757741928101,0.8522500395774841,3928,1442
13,Ertapenem,0.9287712574005127,0.8524829745292664,2189,803
14,Erythromycin,0.9174704551696777,0.8525484204292297,1614,612
15,Fosfomycin-Trometamol,0.9301713705062866,0.8526366353034973,930,295
16,Fusidic acid,0.9202340841293335,0.8528662919998169,1521,622
17,Gentamicin,0.9169909954071045,0.8527736663818359,1562,581
18,Imipenem,0.9116660356521606,0.8522741198539734,4305,1604
19,Levofloxacin,0.9123891592025757,0.8518954515457153,3059,1107
20,Meropenem,0.9183861017227173,0.852079451084137,4248,1720
21,Nitrofurantoin,0.9189553260803223,0.8520218133926392,307,109
22,Norfloxacin,0.9215383529663086,0.8520254492759705,880,335
23,Oxacillin,0.9158489108085632,0.8522194623947144,1619,613
24,Penicillin,0.915385365486145,0.8521397709846497,1936,744
25,Piperacillin-Tazobactam,0.9173977375030518,0.8522063493728638,4211,1508
26,Rifampicin,0.9230062365531921,0.8525774478912354,1564,641
27,Teicoplanin,0.9239980578422546,0.8527790307998657,1082,440
28,Tetracycline,0.9308723211288452,0.8531157970428467,1429,577
29,Tobramycin,0.9153929352760315,0.8529739379882812,2662,990
