,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9414913058280945,0.8692076206207275,2445,967
1,Amoxicillin-Clavulanic acid,0.919684648513794,0.8688145875930786,3651,1357
2,Ampicillin-Amoxicillin,0.9226207733154297,0.8690382242202759,3890,1443
3,Cefazolin,0.9334880709648132,0.8690781593322754,1483,543
4,Cefepime,0.9274117350578308,0.8691487312316895,4131,1542
5,Cefpodoxime,0.9265503287315369,0.8692294359207153,966,368
6,Ceftazidime,0.9186376333236694,0.868838369846344,2514,927
7,Ceftriaxone,0.9245014786720276,0.8687973618507385,3881,1406
8,Cefuroxime,0.9207535982131958,0.8686903119087219,1582,567
9,Ciprofloxacin,0.9220523834228516,0.8687562346458435,4445,1663
10,Clindamycin,0.9265081286430359,0.8687068819999695,1710,640
11,Colistin,0.924527645111084,0.8686712980270386,2569,1047
12,Cotrimoxazole,0.9228121042251587,0.8686971068382263,3854,1472
13,Ertapenem,0.9197210073471069,0.8686351776123047,2107,795
14,Erythromycin,0.9371464252471924,0.8689164519309998,1632,629
15,Fosfomycin-Trometamol,0.9238925576210022,0.8689446449279785,875,351
16,Fusidic acid,0.9332559704780579,0.8690927028656006,1567,592
17,Gentamicin,0.9140640497207642,0.8688399195671082,1562,584
18,Imipenem,0.9211918711662292,0.8687219023704529,4214,1607
19,Levofloxacin,0.9270720481872559,0.8689591884613037,2995,1115
20,Meropenem,0.9192993640899658,0.8687824606895447,4261,1627
21,Nitrofurantoin,0.8993157744407654,0.8687443137168884,315,116
22,Norfloxacin,0.9277791380882263,0.86883544921875,874,347
23,Oxacillin,0.9310994744300842,0.868969738483429,1606,613
24,Penicillin,0.9215934872627258,0.8689663410186768,1965,748
25,Piperacillin-Tazobactam,0.9216340780258179,0.8686428070068359,4133,1510
26,Rifampicin,0.920121431350708,0.8685539960861206,1608,615
27,Teicoplanin,0.9257749915122986,0.8684477806091309,1129,410
28,Tetracycline,0.926791250705719,0.8685799837112427,1459,560
29,Tobramycin,0.9241746664047241,0.8684424757957458,2637,957
