,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9324117302894592,0.8570654988288879,2525,873
1,Amoxicillin-Clavulanic acid,0.9136400818824768,0.8559247851371765,3693,1306
2,Ampicillin-Amoxicillin,0.9285575747489929,0.8561933636665344,3927,1444
3,Cefazolin,0.9283595681190491,0.8562348484992981,1449,554
4,Cefepime,0.9219042658805847,0.8564739227294922,4129,1548
5,Cefpodoxime,0.912044882774353,0.8561263084411621,999,369
6,Ceftazidime,0.9255443811416626,0.8562045097351074,2504,936
7,Ceftriaxone,0.9248426556587219,0.8566871285438538,3795,1458
8,Cefuroxime,0.925803005695343,0.8568398356437683,1518,588
9,Ciprofloxacin,0.9132241010665894,0.8560071587562561,4477,1606
10,Clindamycin,0.922221302986145,0.8560329079627991,1697,637
11,Colistin,0.9192302227020264,0.8559080958366394,2644,985
12,Cotrimoxazole,0.9127101898193359,0.8554851412773132,3827,1453
13,Ertapenem,0.9154632091522217,0.8554469347000122,2104,806
14,Erythromycin,0.9187354445457458,0.8554468154907227,1600,622
15,Fosfomycin-Trometamol,0.9224447011947632,0.8556132316589355,886,355
16,Fusidic acid,0.9090973138809204,0.8553569316864014,1561,570
17,Gentamicin,0.9231043457984924,0.8555571436882019,1536,582
18,Imipenem,0.9265080094337463,0.855722963809967,4287,1581
19,Levofloxacin,0.9249916672706604,0.8555904626846313,3056,1109
20,Meropenem,0.9314929842948914,0.8561557531356812,4300,1567
21,Nitrofurantoin,0.9323047399520874,0.8561767339706421,341,107
22,Norfloxacin,0.9283201098442078,0.8563318252563477,900,336
23,Oxacillin,0.9223283529281616,0.8562574982643127,1619,581
24,Penicillin,0.9237401485443115,0.8563396334648132,1971,735
25,Piperacillin-Tazobactam,0.9197670221328735,0.8561901450157166,4108,1540
26,Rifampicin,0.918176531791687,0.8560821413993835,1636,570
27,Teicoplanin,0.9315119385719299,0.8562937378883362,1121,460
28,Tetracycline,0.9142068028450012,0.8562986254692078,1435,543
29,Tobramycin,0.9353237152099609,0.856819748878479,2629,978
