,antibiotics,AUROC,AUPRC,Susceptible,Resistance
0,Amikacin,0.9215596318244934,0.8618214130401611,2490,962
1,Amoxicillin-Clavulanic acid,0.9185750484466553,0.8617411851882935,3711,1328
2,Ampicillin-Amoxicillin,0.9228625297546387,0.8613640666007996,3947,1412
3,Cefazolin,0.9204588532447815,0.8610939979553223,1524,485
4,Cefepime,0.9267937541007996,0.8614139556884766,4124,1562
5,Cefpodoxime,0.9183841943740845,0.8615149259567261,964,380
6,Ceftazidime,0.9233700633049011,0.8615193963050842,2534,955
7,Ceftriaxone,0.919768750667572,0.8616458177566528,3798,1493
8,Cefuroxime,0.9222403168678284,0.8618006110191345,1527,596
9,Ciprofloxacin,0.9174715280532837,0.8616495132446289,4428,1656
10,Clindamycin,0.9077098965644836,0.8612053394317627,1716,599
11,Colistin,0.9181603193283081,0.8610973954200745,2704,968
12,Cotrimoxazole,0.9100713729858398,0.8610004186630249,3874,1470
13,Ertapenem,0.9184810519218445,0.8605276346206665,2159,786
14,Erythromycin,0.9323752522468567,0.8607500791549683,1597,604
15,Fosfomycin-Trometamol,0.9321975708007812,0.8608748316764832,881,342
16,Fusidic acid,0.9258023500442505,0.8607079386711121,1535,591
17,Gentamicin,0.9059545993804932,0.8606106638908386,1531,576
18,Imipenem,0.9190499782562256,0.8605878353118896,4285,1606
19,Levofloxacin,0.9201609492301941,0.8607584238052368,3017,1132
20,Meropenem,0.9208328127861023,0.8609113097190857,4248,1645
21,Nitrofurantoin,0.9424045085906982,0.8609536290168762,298,104
22,Norfloxacin,0.9242914319038391,0.8610231280326843,875,347
23,Oxacillin,0.9340647459030151,0.8613365292549133,1590,595
24,Penicillin,0.9304604530334473,0.8614631295204163,1949,718
25,Piperacillin-Tazobactam,0.9232891798019409,0.8618530035018921,4130,1562
26,Rifampicin,0.9336076378822327,0.8621135354042053,1591,591
27,Teicoplanin,0.9256165027618408,0.8619891405105591,1142,389
28,Tetracycline,0.9097962975502014,0.8620509505271912,1419,563
29,Tobramycin,0.9253587126731873,0.8618898391723633,2689,951
