class,ROCAUC,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN
Amikacin,0.7351452112197876,33,1813
Aminoglycosides,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.7938063740730286,1394,3150
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN
Ampicillin,0.2848902940750122,3024,1523
Ampicillin+Sulbactam,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN
Ampicillin-Sulbactam,NaN,NaN,NaN
Anidulafungin,NaN,NaN,NaN
Azithromycin,0.5849056243896484,2,53
Aztreonam,NaN,NaN,NaN
Bacitracin,NaN,NaN,NaN
Benzylpenicillin,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN
Caspofungin,NaN,NaN,NaN
Cefalotin-Cefazolin,0.7843137383460999,51,1
Cefazolin,NaN,NaN,NaN
Cefepime,0.625138521194458,259,1582
Cefixime,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN
Cefotaxime,NaN,NaN,NaN
Cefoxitin,NaN,NaN,NaN
Cefoxitin_screen,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN
Ceftazidime,0.6243206262588501,354,2420
Ceftazidime-Avibactam,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN
Ceftolozane-Tazobactam,1.0,1,1
Ceftriaxone,0.658312201499939,716,2159
Cefuroxime,0.6531389355659485,1076,1766
Chloramphenicol,NaN,NaN,NaN
Ciprofloxacin,0.7290832996368408,396,3385
Clarithromycin,0.6598078608512878,215,835
Clindamycin,0.6229255795478821,397,826
Colistin,0.5428571105003357,5,7
Cotrimoxazol,NaN,NaN,NaN
Cotrimoxazole,0.6974231004714966,1253,2822
Daptomycin,NaN,NaN,NaN
Doxycycline,0.4754384756088257,44,793
Ertapenem,NaN,NaN,NaN
Erythromycin,0.9542483687400818,3,51
Fluconazol,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN
Fosfomycin,0.7064634561538696,503,752
Fosfomycin-Trometamol,NaN,NaN,NaN
Fusidic acid,0.7342549562454224,31,714
Gentamicin,0.6357982158660889,550,3441
Gentamicin_high_level,NaN,NaN,NaN
Imipenem,0.7799392938613892,44,1812
Isavuconazole,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN
Levofloxacin,NaN,NaN,NaN
Linezolid,0.5855263471603394,3,304
Meropenem,0.7430555820465088,8,18
Meropenem_with_meningitis,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN
Metronidazole,0.6019417643547058,2,103
Micafungin,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN
Moxifloxacin,0.5946969985961914,4,66
Mupirocin,0.8386382460594177,535,140
Neomycin,NaN,NaN,NaN
Nitrofurantoin,0.8779458403587341,325,1426
Norfloxacin,0.7636860609054565,191,1140
Novobiocin,0.10445469617843628,7,93
Oxacillin,0.7909724712371826,710,851
Penicillin,0.7311943173408508,724,412
PenicillinG,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN
Piperacillin,NaN,NaN,NaN
Piperacillin-Tazobactam,0.565259575843811,309,2185
Polymyxin B,0.3352740406990051,486,2305
Posaconazole,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN
Rifampicin,0.46596860885620117,4,764
Rifampicin_1mg-l,NaN,NaN,NaN
Strepomycin_high_level,NaN,NaN,NaN
Teicoplanin,NaN,NaN,NaN
Teicoplanin_GRD,NaN,NaN,NaN
Tetracycline,0.6483932137489319,23,46
Ticarcillin,NaN,NaN,NaN
Ticarcillin-Clavulan acid,NaN,NaN,NaN
Tigecycline,NaN,NaN,NaN
Tobramycin,NaN,NaN,NaN
Vancomycin,0.8694719672203064,16,1108
Voriconazole,NaN,NaN,NaN
micro,0.7379027009010315,,
macro,0.517362847276356,,
